substrate	product	barrier	heat
CC(C)=C1CC[C+](C)C2(CC2)[C@@H](C)CC1	C[C+](C)[C@]12CC[C@H](C)C3(CC3)[C@@]1(C)CC2	1.943	-7.745
C[C+](C)[C@@H]1CC[C@]12C[C@]1(C)CC[C@H]2CC1	CC(C)=CCC[C+]1C[C@]2(C)CC[C@H]1CC2	8.286	4
CC(C)=CCC[C+](C)[C@H]1CC=C(C)CC1	CC1=CC/C(=C(/C)CCC[C+](C)C)CC1	2.729	2.051
C[C+](C)[C@@]12CC[C@H](C)[C@]13CC[C@](C)(C2)C3	C[C@H]1CC[C+]2C(C)(C)C[C@@]3(C)CC[C@]21C3	5.762	-21.172
C[C+]1[C@@H](C)C[C@@]2(C)CCC[C@@]2(C)C12CC2	C[C@H]1[C+]2CC[C@]1(C)C[C@@]1(C)CCC[C@@]21C	5.091	-11.293
C[C@H]1CC[C@H]2[C+]1[C@]1(CC[C@H]1C)CC2(C)C	C[C@H]1CC[C@@H]2C(C)(C)C[C+]3CC[C@@H](C)[C@]312	14.772	9.559
CC1=CC[C@]2(CCC[C+](C)C2(C)C)CC1	CC1=CC[C@]2(CCCC(C)(C)[C+]2C)CC1	5.092	-5.209
C[C+]1CC[C@@H](C(C)C)CC2=C1[C@H](C)CC2	C[C+]1CC[C@@H]2C[C@@H]3CC[C@@H](C)[C@]13C2(C)C	28.922	7.699
CC1=CC[C+]([C@@]2(C)CC[C@H]2C(C)C)CC1	C[C+]1CC[C@@]2([C@@]3(C)CC[C@H]3C(C)C)C[C@@H]12	0.001	-4.984
CC(C)=C/C=C/[C@H](C)C1CC[C+](C)CC1	CC(C)=C[CH+]C[C@H](C)[C@H]1CC=C(C)CC1	2.674	-9.702
CC(C)[C+]1C[C@@H]2[C@@H](C)CC[C@@H]2CC12CC2	CC(C)[C@]12CC[C+]1C[C@H]1CC[C@H](C)[C@H]1C2	10.736	6.91
C/C1=C/C/C(C)=C(\C)CC[C+](C)CCC1	C=C1C/C=C(\C)CCC[C@H](C)CC[C+]1C	14.736	9.705
